candidate_id,rank,base_score,calibration_adj,total_score,skill_alignment_group,skill_alignment_reason,high_spec_matched,per_skill_groups,skill_overlap,group_overlap,skill_contribution,group_contribution,total_skill_signal,counterfactual_base_no_skill,career_evidence,depth,has_retrieval,has_eval,trap_flags,title,company,yoe
CAND_0017960,24,0.5664,0.096,0.6624,A,all high-spec matched skills corroborated by career evidence,Qdrant,Qdrant:A,0.188,1.0,0.0488,0.16,0.2087,0.3577,1.0,4,True,True,,Recommendation Systems Engineer,Nykaa,7.7
CAND_0069905,25,0.5722,0.079,0.6512,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Sentence Transformers|Weaviate,Recommendation Systems:B; Sentence Transformers:B; Weaviate:B,0.25,1.0,0.065,0.16,0.225,0.3472,1.0,4,True,True,,Applied ML Engineer,Sarvam AI,6.6
CAND_0044222,26,0.5642,0.088,0.6522,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Qdrant|Weaviate,OpenSearch:A; Qdrant:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3555,1.0,4,True,True,,AI Engineer,PolicyBazaar,7.7
CAND_0088025,27,0.5652,0.088,0.6532,B,some evidence present but not all skills fully corroborated,Elasticsearch|Pinecone,Elasticsearch:B; Pinecone:B,0.188,1.0,0.0488,0.16,0.2087,0.3565,1.0,4,True,True,,Staff Machine Learning Engineer,Yellow.ai,8.6
CAND_0070398,28,0.5617,0.089,0.6507,A,all high-spec matched skills corroborated by career evidence,FAISS|Recommendation Systems,FAISS:A; Recommendation Systems:A,0.188,1.0,0.0488,0.16,0.2087,0.353,1.0,4,True,True,,Machine Learning Engineer,Genpact AI,7.2
CAND_0027691,29,0.5588,0.091,0.6498,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Weaviate,Recommendation Systems:A; Weaviate:B,0.188,1.0,0.0488,0.16,0.2087,0.3501,1.0,3,True,False,,NLP Engineer,Haptik,6.5
CAND_0075574,30,0.5505,0.1,0.6505,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Qdrant|Recommendation Systems|Weaviate,Elasticsearch:A; OpenSearch:A; Qdrant:A; Recommendation Systems:A; Weaviate:A,0.312,0.667,0.0813,0.1067,0.1879,0.3626,1.0,4,True,True,,Machine Learning Engineer,Haptik,5.7
CAND_0009691,31,0.5638,0.078,0.6418,A,all high-spec matched skills corroborated by career evidence,FAISS|Pinecone|Qdrant|Recommendation Systems|Sentence Transformers,FAISS:A; Pinecone:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.312,1.0,0.0813,0.16,0.2413,0.3225,0.8,4,True,True,,Applied ML Engineer,LinkedIn,6.2
CAND_0095528,32,0.5521,0.092,0.6441,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Qdrant,Elasticsearch:B; OpenSearch:B; Qdrant:B,0.25,1.0,0.065,0.16,0.225,0.3271,0.8,4,True,True,,Senior Data Scientist,Netflix,5.3
CAND_0052328,33,0.5575,0.083,0.6405,C,unsupported skill(s): ['Recommendation Systems'],OpenSearch|Recommendation Systems|Sentence Transformers,OpenSearch:B; Recommendation Systems:C; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.3325,0.8,3,True,True,,Recommendation Systems Engineer,Amazon,6.5
CAND_0079064,34,0.5616,0.077,0.6386,B,some evidence present but not all skills fully corroborated,OpenSearch|Pinecone|Recommendation Systems,OpenSearch:B; Pinecone:B; Recommendation Systems:B,0.188,1.0,0.0488,0.16,0.2087,0.3529,1.0,4,True,True,,Senior Data Scientist,Niramai,5.2
CAND_0037944,35,0.553,0.086,0.639,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Sentence Transformers,OpenSearch:A; Sentence Transformers:A,0.25,1.0,0.065,0.16,0.225,0.328,1.0,4,True,True,,Senior Data Scientist,Vedantu,4.9
CAND_0030031,36,0.5481,0.095,0.6431,B,some evidence present but not all skills fully corroborated,Milvus|Sentence Transformers,Milvus:B; Sentence Transformers:B,0.188,1.0,0.0488,0.16,0.2087,0.3394,0.8,4,True,True,,AI Engineer,Microsoft,5.7
CAND_0005260,37,0.5424,0.1,0.6424,B,no high-specificity skills matched JD; signal from generic skills only,,,0.062,1.0,0.0163,0.16,0.1763,0.3661,1.0,4,True,True,,Senior NLP Engineer,Netflix,5.2
CAND_0018499,38,0.5355,0.1,0.6355,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Recommendation Systems|Weaviate,Milvus:A; Pinecone:A; Recommendation Systems:A; Weaviate:A,0.25,0.667,0.065,0.1067,0.1717,0.3638,1.0,4,True,True,,Senior Machine Learning Engineer,Zomato,7.2
CAND_0046064,39,0.5361,0.1,0.6361,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Pinecone,Elasticsearch:A; OpenSearch:A; Pinecone:A,0.25,0.667,0.065,0.1067,0.1717,0.3644,1.0,4,True,True,,Senior NLP Engineer,Salesforce,8.9
CAND_0010685,40,0.5388,0.095,0.6338,B,some evidence present but not all skills fully corroborated,Elasticsearch,Elasticsearch:B,0.062,1.0,0.0163,0.16,0.1763,0.3625,1.0,4,True,True,,NLP Engineer,Rephrase.ai,6.7
CAND_0096142,41,0.5418,0.092,0.6338,A,all high-spec matched skills corroborated by career evidence,Pinecone|Weaviate,Pinecone:A; Weaviate:A,0.188,1.0,0.0488,0.16,0.2087,0.3331,0.8,4,True,True,,Applied ML Engineer,upGrad,5.0
CAND_0018722,42,0.5469,0.082,0.6289,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Weaviate,Recommendation Systems:B; Weaviate:B,0.188,1.0,0.0488,0.16,0.2087,0.3382,1.0,3,True,False,,Recommendation Systems Engineer,Saarthi.ai,6.6
CAND_0077285,43,0.5341,0.1,0.6341,B,some evidence present but not all skills fully corroborated,FAISS|Milvus|Pinecone|Sentence Transformers,FAISS:B; Milvus:B; Pinecone:B; Sentence Transformers:B,0.25,0.667,0.065,0.1067,0.1717,0.3624,1.0,4,True,True,,Recommendation Systems Engineer,Nykaa,5.5
CAND_0086022,44,0.5309,0.1,0.6309,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Pinecone|Recommendation Systems|Sentence Transformers,Elasticsearch:A; Pinecone:A; Recommendation Systems:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3592,1.0,4,True,True,,Senior Applied Scientist,Sarvam AI,5.3
CAND_0068811,45,0.5344,0.095,0.6294,B,some evidence present but not all skills fully corroborated,OpenSearch|Pinecone|Qdrant|Weaviate,OpenSearch:B; Pinecone:B; Qdrant:B; Weaviate:B,0.25,0.667,0.065,0.1067,0.1717,0.3627,1.0,4,True,True,,Applied ML Engineer,Freshworks,8.0
CAND_0052682,46,0.5405,0.087,0.6275,A,all high-spec matched skills corroborated by career evidence,FAISS,FAISS:A,0.125,1.0,0.0325,0.16,0.1925,0.348,1.0,4,True,True,,NLP Engineer,Aganitha,6.6
CAND_0060072,47,0.5442,0.085,0.6292,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Qdrant|Recommendation Systems|Sentence Transformers,Milvus:A; Pinecone:A; Qdrant:A; Recommendation Systems:A; Sentence Transformers:A,0.375,0.667,0.0975,0.1067,0.2042,0.34,0.8,4,True,True,,Staff Machine Learning Engineer,Amazon,5.7
CAND_0094056,48,0.5518,0.073,0.6248,B,some evidence present but not all skills fully corroborated,Milvus|Pinecone|Sentence Transformers,Milvus:B; Pinecone:B; Sentence Transformers:B,0.25,1.0,0.065,0.16,0.225,0.3268,0.8,3,True,False,,NLP Engineer,Rephrase.ai,5.9
CAND_0041611,49,0.5324,0.1,0.6324,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Qdrant|Sentence Transformers|Weaviate,OpenSearch:A; Qdrant:A; Sentence Transformers:A; Weaviate:A,0.25,0.667,0.065,0.1067,0.1717,0.3607,1.0,4,True,True,,Staff Machine Learning Engineer,Locobuzz,6.4
CAND_0046525,50,0.528,0.1,0.628,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Qdrant|Sentence Transformers,Elasticsearch:A; Qdrant:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3563,1.0,4,True,True,,Senior Machine Learning Engineer,Genpact AI,6.1
CAND_0053591,51,0.53,0.096,0.626,A,all high-spec matched skills corroborated by career evidence,Milvus|OpenSearch|Qdrant|Sentence Transformers,Milvus:A; OpenSearch:A; Qdrant:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3583,1.0,4,True,True,,AI Engineer,Ola,5.3
CAND_0039754,52,0.5309,0.09,0.6209,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Qdrant|Weaviate,Elasticsearch:A; OpenSearch:A; Qdrant:A; Weaviate:A,0.375,1.0,0.0975,0.16,0.2575,0.2734,1.0,4,True,True,,Senior Applied Scientist,Meta,16.2
CAND_0060054,53,0.5235,0.1,0.6235,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|FAISS|Recommendation Systems|Weaviate,Elasticsearch:A; FAISS:A; Recommendation Systems:A; Weaviate:A,0.25,0.667,0.065,0.1067,0.1717,0.3518,1.0,4,True,True,,AI Engineer,Mad Street Den,6.4
CAND_0061655,54,0.538,0.08,0.618,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Pinecone|Qdrant,Elasticsearch:A; OpenSearch:A; Pinecone:A; Qdrant:A,0.312,1.0,0.0813,0.16,0.2413,0.2967,0.8,4,True,True,,Machine Learning Engineer,Krutrim,4.6
CAND_0089552,55,0.5369,0.084,0.6209,A,all high-spec matched skills corroborated by career evidence,Milvus|Qdrant|Sentence Transformers|Weaviate,Milvus:A; Qdrant:A; Sentence Transformers:A; Weaviate:A,0.312,0.667,0.0813,0.1067,0.1879,0.349,1.0,4,True,True,,Machine Learning Engineer,Netflix,6.0
CAND_0064904,56,0.5351,0.082,0.6171,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Recommendation Systems|Weaviate,Elasticsearch:B; OpenSearch:B; Recommendation Systems:A; Weaviate:B,0.312,1.0,0.0813,0.16,0.2413,0.2938,0.8,4,True,True,,AI Engineer,LinkedIn,4.9
CAND_0055905,57,0.5198,0.1,0.6198,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch,Elasticsearch:A; OpenSearch:A,0.188,0.667,0.0488,0.1067,0.1554,0.3644,1.0,4,True,True,,Senior Machine Learning Engineer,Flipkart,8.1
CAND_0058575,58,0.5268,0.089,0.6158,C,unsupported skill(s): ['Recommendation Systems'],Pinecone|Recommendation Systems|Sentence Transformers,Pinecone:B; Recommendation Systems:C; Sentence Transformers:B,0.25,0.667,0.065,0.1067,0.1717,0.3551,1.0,4,True,True,,AI Engineer,Krutrim,5.8
CAND_0087630,59,0.5359,0.073,0.6089,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch|Sentence Transformers,Elasticsearch:A; OpenSearch:A; Sentence Transformers:A,0.188,1.0,0.0488,0.16,0.2087,0.3272,0.8,4,True,True,,AI Engineer,Vedantu,7.2
CAND_0098846,60,0.5176,0.098,0.6156,B,some evidence present but not all skills fully corroborated,Qdrant|Recommendation Systems,Qdrant:B; Recommendation Systems:A,0.188,0.667,0.0488,0.1067,0.1554,0.3622,1.0,4,True,True,,AI Engineer,upGrad,7.6
CAND_0011432,61,0.5203,0.095,0.6153,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch,Elasticsearch:A; OpenSearch:A,0.188,0.667,0.0488,0.1067,0.1554,0.3649,1.0,4,True,True,,Senior Data Scientist,Amazon,7.6
CAND_0011687,62,0.5139,0.1,0.6139,A,all high-spec matched skills corroborated by career evidence,FAISS|OpenSearch|Weaviate,FAISS:A; OpenSearch:A; Weaviate:A,0.188,0.667,0.0488,0.1067,0.1554,0.3585,1.0,4,True,True,,Senior NLP Engineer,Niramai,7.8
CAND_0041610,63,0.5137,0.098,0.6117,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Recommendation Systems,Elasticsearch:B; OpenSearch:B; Recommendation Systems:A,0.188,0.667,0.0488,0.1067,0.1554,0.3583,1.0,4,True,True,,Recommendation Systems Engineer,Zoho,6.7
CAND_0044855,64,0.5207,0.091,0.6117,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Pinecone|Qdrant,OpenSearch:A; Pinecone:A; Qdrant:A,0.25,0.667,0.065,0.1067,0.1717,0.349,1.0,4,True,True,,Senior Data Scientist,Flipkart,6.6
CAND_0007009,65,0.5307,0.075,0.6057,B,some evidence present but not all skills fully corroborated,OpenSearch|Sentence Transformers|Weaviate,OpenSearch:B; Sentence Transformers:B; Weaviate:B,0.25,0.667,0.065,0.1067,0.1717,0.359,1.0,4,True,True,,Recommendation Systems Engineer,Wysa,7.9
CAND_0018549,66,0.5192,0.09,0.6092,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Milvus|OpenSearch|Qdrant|Weaviate,Elasticsearch:A; Milvus:A; OpenSearch:A; Qdrant:A; Weaviate:A,0.312,0.667,0.0813,0.1067,0.1879,0.3313,0.8,4,True,True,,Recommendation Systems Engineer,Uber,6.8
CAND_0099401,67,0.525,0.087,0.612,B,some evidence present but not all skills fully corroborated,Qdrant,Qdrant:B,0.125,1.0,0.0325,0.16,0.1925,0.3325,0.8,4,True,True,,NLP Engineer,Dream11,7.7
CAND_0053695,68,0.5159,0.094,0.6099,A,all high-spec matched skills corroborated by career evidence,Pinecone|Recommendation Systems|Sentence Transformers,Pinecone:A; Recommendation Systems:A; Sentence Transformers:A,0.188,0.667,0.0488,0.1067,0.1554,0.3605,1.0,4,True,True,,Recommendation Systems Engineer,Meesho,5.8
CAND_0065195,69,0.524,0.083,0.607,B,some evidence present but not all skills fully corroborated,Elasticsearch|Qdrant,Elasticsearch:B; Qdrant:B,0.125,1.0,0.0325,0.16,0.1925,0.3315,0.8,3,True,True,,Search Engineer,CRED,5.1
CAND_0094759,70,0.51,0.098,0.608,A,all high-spec matched skills corroborated by career evidence,FAISS|Qdrant|Weaviate,FAISS:A; Qdrant:A; Weaviate:A,0.188,0.667,0.0488,0.1067,0.1554,0.3546,1.0,4,True,True,,Lead AI Engineer,Meta,8.6
CAND_0005649,71,0.5069,0.1,0.6069,B,some evidence present but not all skills fully corroborated,Recommendation Systems|Weaviate,Recommendation Systems:A; Weaviate:B,0.125,0.667,0.0325,0.1067,0.1392,0.3677,1.0,4,True,True,,Senior Data Scientist,Sarvam AI,7.4
CAND_0078002,72,0.5128,0.092,0.6048,A,all high-spec matched skills corroborated by career evidence,Weaviate,Weaviate:A,0.062,1.0,0.0163,0.16,0.1763,0.3365,0.8,4,True,True,,Machine Learning Engineer,Meta,6.3
CAND_0029367,73,0.5225,0.078,0.6005,B,some evidence present but not all skills fully corroborated,FAISS|Pinecone|Recommendation Systems|Sentence Transformers,FAISS:B; Pinecone:B; Recommendation Systems:B; Sentence Transformers:B,0.25,0.667,0.065,0.1067,0.1717,0.3508,1.0,4,True,True,,Senior Data Scientist,Rephrase.ai,5.7
CAND_0093547,74,0.5122,0.093,0.6052,A,all high-spec matched skills corroborated by career evidence,FAISS|Milvus|Weaviate,FAISS:A; Milvus:A; Weaviate:A,0.312,1.0,0.0813,0.16,0.2413,0.2709,1.0,4,True,True,,Senior Machine Learning Engineer,PhonePe,2.9
CAND_0092278,75,0.5118,0.098,0.6098,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|Milvus,Elasticsearch:A; Milvus:A,0.188,0.667,0.0488,0.1067,0.1554,0.3564,1.0,4,True,True,,Senior NLP Engineer,Microsoft,6.8
CAND_0037566,76,0.5261,0.066,0.5921,B,some evidence present but not all skills fully corroborated,Elasticsearch|Pinecone,Elasticsearch:B; Pinecone:B,0.125,1.0,0.0325,0.16,0.1925,0.3336,0.8,3,True,True,,Machine Learning Engineer,LinkedIn,6.9
CAND_0091909,77,0.506,0.092,0.598,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Pinecone|Qdrant|Sentence Transformers,OpenSearch:A; Pinecone:A; Qdrant:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3343,0.8,4,True,True,,Machine Learning Engineer,Rephrase.ai,6.9
CAND_0039383,78,0.5083,0.089,0.5973,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|FAISS|Recommendation Systems,Elasticsearch:A; FAISS:A; Recommendation Systems:A,0.188,0.667,0.0488,0.1067,0.1554,0.3529,1.0,4,True,True,,Applied ML Engineer,Meesho,7.1
CAND_0011162,79,0.5189,0.074,0.5929,B,some evidence present but not all skills fully corroborated,FAISS|Milvus|OpenSearch|Pinecone|Sentence Transformers|Weaviate,FAISS:B; Milvus:B; OpenSearch:B; Pinecone:B; Sentence Transformers:B; Weaviate:B,0.438,0.667,0.1138,0.1067,0.2204,0.2985,0.2,3,False,True,,Recommendation Systems Engineer,upGrad,5.8
CAND_0007411,80,0.4991,0.099,0.5981,A,all high-spec matched skills corroborated by career evidence,OpenSearch|Pinecone,OpenSearch:A; Pinecone:A,0.125,0.667,0.0325,0.1067,0.1392,0.3599,1.0,4,True,True,,Senior Machine Learning Engineer,Amazon,8.0
CAND_0057563,81,0.4997,0.098,0.5977,A,all high-spec matched skills corroborated by career evidence,Elasticsearch|OpenSearch,Elasticsearch:A; OpenSearch:A,0.188,0.667,0.0488,0.1067,0.1554,0.3443,1.0,4,True,True,,NLP Engineer,Locobuzz,6.8
CAND_0030827,82,0.5118,0.081,0.5928,B,some evidence present but not all skills fully corroborated,FAISS|Qdrant|Recommendation Systems|Sentence Transformers,FAISS:B; Qdrant:B; Recommendation Systems:B; Sentence Transformers:B,0.25,0.667,0.065,0.1067,0.1717,0.3401,1.0,3,True,False,,Senior Data Scientist,Freshworks,5.4
CAND_0075249,83,0.5075,0.085,0.5925,A,all high-spec matched skills corroborated by career evidence,Milvus|Pinecone|Sentence Transformers,Milvus:A; Pinecone:A; Sentence Transformers:A,0.25,0.667,0.065,0.1067,0.1717,0.3358,1.0,4,True,True,,Applied ML Engineer,Zomato,6.2
CAND_0088438,84,0.5312,0.063,0.5942,B,some evidence present but not all skills fully corroborated,Pinecone|Recommendation Systems|Weaviate,Pinecone:B; Recommendation Systems:A; Weaviate:B,0.312,1.0,0.0813,0.16,0.2413,0.2899,0.3,2,False,False,,Senior Software Engineer (ML),Saarthi.ai,6.6
CAND_0093912,85,0.5051,0.082,0.5871,B,some evidence present but not all skills fully corroborated,Elasticsearch|Milvus|Recommendation Systems,Elasticsearch:B; Milvus:B; Recommendation Systems:B,0.188,0.667,0.0488,0.1067,0.1554,0.3497,1.0,3,True,False,,Senior Data Scientist,Razorpay,5.3
CAND_0009024,86,0.5098,0.075,0.5848,A,all high-spec matched skills corroborated by career evidence,FAISS|OpenSearch|Qdrant|Recommendation Systems,FAISS:A; OpenSearch:A; Qdrant:A; Recommendation Systems:A,0.312,0.667,0.0813,0.1067,0.1879,0.3219,0.8,4,True,True,,Search Engineer,Google,5.2
CAND_0081053,87,0.4965,0.092,0.5885,B,some evidence present but not all skills fully corroborated,OpenSearch|Qdrant|Weaviate,OpenSearch:B; Qdrant:B; Weaviate:B,0.25,0.667,0.065,0.1067,0.1717,0.3248,0.8,4,True,True,,NLP Engineer,Glance,5.4
CAND_0047721,88,0.4991,0.089,0.5881,A,all high-spec matched skills corroborated by career evidence,FAISS|Milvus|Qdrant,FAISS:A; Milvus:A; Qdrant:A,0.25,0.667,0.065,0.1067,0.1717,0.3274,0.8,4,True,True,,Senior Data Scientist,Microsoft,7.0
CAND_0076163,89,0.5228,0.057,0.5798,B,some evidence present but not all skills fully corroborated,Elasticsearch|OpenSearch|Sentence Transformers|Weaviate,Elasticsearch:B; OpenSearch:B; Sentence Transformers:B; Weaviate:B,0.312,1.0,0.0813,0.16,0.2413,0.2815,0.2,2,False,False,,NLP Engineer,Ola,6.9
CAND_0081321,90,0.5146,0.069,0.5836,B,some evidence present but not all skills fully corroborated,Milvus|Weaviate,Milvus:B; Weaviate:B,0.25,1.0,0.065,0.16,0.225,0.2896,0.3,2,False,False,,Senior Software Engineer (ML),Freshworks,5.3
