candidate_id,rank,score,reasoning
CAND_0027691,29,0.661045,"NLP Engineer at Haptik, 6.5 years; solid retrieval and vector search background — built systems using Weaviate, Embeddings, Semantic Search. actively open to work, 15-day notice, GitHub score 58."
CAND_0075574,30,0.659495,"Strong retrieval background: 5.7 years as Machine Learning Engineer at Haptik, built production systems with pgvector, Weaviate, OpenSearch and A/B testing, eval frameworks quality tracking. actively open to work, willing to relocate."
CAND_0009691,31,0.656425,"6.2 years as Applied ML Engineer at LinkedIn; built systems with Pinecone, Qdrant, FAISS — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, GitHub score 68, willing to relocate."
CAND_0095528,32,0.653817,"5.3 years ML background at Netflix (Senior Data Scientist); OpenSearch, Vector Search, pgvector experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work."
CAND_0052328,33,0.652842,"6.5 years ML background at Amazon (Recommendation Systems Engineer); OpenSearch, Vector Search, Sentence Transformers experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 30-day notice, 79% recruiter response rate."
CAND_0079064,34,0.652048,"Senior Data Scientist at Niramai (5.2 years); demonstrated OpenSearch, Pinecone, Semantic Search experience, though at lower evidence depth than top-tier candidates. actively open to work, 91% recruiter response rate."
CAND_0037944,35,0.651743,"Senior Data Scientist at Vedantu (4.9 years (below the 5-9y target band)); demonstrated Vector Search, OpenSearch, Embeddings experience, though at lower evidence depth than top-tier candidates. actively open to work, 30-day notice, GitHub score 83."
CAND_0030031,36,0.651628,"5.7 years as AI Engineer at Microsoft; retrieval and vector search experience (Milvus, Vector Search, Sentence Transformers) — solid mid-tier fit. 30-day notice, 94% recruiter response rate."
CAND_0005260,37,0.649947,"Ranked 37: Senior NLP Engineer at Netflix (5.2 years) with pgvector, Embeddings, Semantic Search background; meets core requirements but with less system ownership evidence than higher-ranked candidates. 86% recruiter response rate, willing to relocate."
CAND_0018499,38,0.645485,"7.2 years ML background at Zomato (Senior Machine Learning Engineer); Weaviate, Pinecone, Milvus experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 15-day notice, GitHub score 95."
CAND_0046064,39,0.644561,"8.9 years as Senior NLP Engineer at Salesforce; built systems with Pinecone, OpenSearch, Elasticsearch — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, 30-day notice, 78% recruiter response rate."
CAND_0010685,40,0.643798,"6.7 years as NLP Engineer at Rephrase.ai; built systems with Elasticsearch, Information Retrieval — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, 30-day notice, 83% recruiter response rate."
CAND_0096142,41,0.642712,"5.0 years ML background at upGrad (Applied ML Engineer); Weaviate, Pinecone, BM25 experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 84% recruiter response rate, GitHub score 80."
CAND_0018722,42,0.642310,"Recommendation Systems Engineer at Saarthi.ai (6.6 years); demonstrated Weaviate, Recommendation Systems, PEFT experience, though at lower evidence depth than top-tier candidates. actively open to work, 79% recruiter response rate, GitHub score 94."
CAND_0077285,43,0.641613,"Ranked 43: Recommendation Systems Engineer at Nykaa (5.5 years) with Pinecone, Embeddings, Milvus background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, GitHub score 76."
CAND_0086022,44,0.640888,"5.3 years ML background at Sarvam AI (Senior Applied Scientist); Vector Search, pgvector, Elasticsearch experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 0-day notice, GitHub score 75."
CAND_0068811,45,0.639952,"Ranked 45: Applied ML Engineer at Freshworks (8.0 years) with Vector Search, Qdrant, Embeddings background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, 30-day notice, willing to relocate."
CAND_0052682,46,0.639885,"6.6 years as NLP Engineer at Aganitha; built systems with FAISS, Embeddings, Semantic Search — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, 30-day notice, 88% recruiter response rate."
CAND_0060072,47,0.639703,"Ranked 47: Staff Machine Learning Engineer at Amazon (5.7 years) with Milvus, Qdrant, Embeddings background; meets core requirements but with less system ownership evidence than higher-ranked candidates. GitHub score 82, willing to relocate."
CAND_0094056,48,0.639443,"5.9 years as NLP Engineer at Rephrase.ai; retrieval and vector search experience (Pinecone, Milvus, Embeddings) — solid mid-tier fit. 82% recruiter response rate, GitHub score 65, willing to relocate."
CAND_0041611,49,0.637937,"6.4 years ML background at Locobuzz (Staff Machine Learning Engineer); Qdrant, Weaviate, OpenSearch experience makes this a qualified candidate, placed below top-50 on evidence depth. 30-day notice, willing to relocate."
CAND_0046525,50,0.636977,"6.1 years ML background at Genpact AI (Senior Machine Learning Engineer); Elasticsearch, pgvector, Qdrant experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 88% recruiter response rate, willing to relocate."
CAND_0053591,51,0.634650,"Ranked 51: AI Engineer at Ola (5.3 years) with Embeddings, Milvus, OpenSearch background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, 81% recruiter response rate, GitHub score 76."
CAND_0039754,52,0.633900,"16.2 years (above the typical band) as Senior Applied Scientist at Meta; retrieval and vector search experience (Qdrant, OpenSearch, Weaviate) — solid mid-tier fit. actively open to work, 30-day notice, 81% recruiter response rate."
CAND_0060054,53,0.632044,"AI Engineer at Mad Street Den (6.4 years); demonstrated Weaviate, FAISS, Elasticsearch experience, though at lower evidence depth than top-tier candidates. 15-day notice, 86% recruiter response rate, willing to relocate."
CAND_0061655,54,0.631022,"4.6 years (below the 5-9y target band) as Machine Learning Engineer at Krutrim; retrieval and vector search experience (Pinecone, Qdrant, OpenSearch) — solid mid-tier fit. 15-day notice, 88% recruiter response rate, GitHub score 56."
CAND_0089552,55,0.631011,"6.0 years ML background at Netflix (Machine Learning Engineer); Weaviate, Qdrant, Vector Search experience makes this a qualified candidate, placed below top-50 on evidence depth. willing to relocate."
CAND_0064904,56,0.629021,"4.9 years (below the 5-9y target band) as AI Engineer at LinkedIn; retrieval and vector search experience (Embeddings, Elasticsearch, Weaviate) — solid mid-tier fit. actively open to work, 78% recruiter response rate, GitHub score 59."
CAND_0055905,57,0.628252,"8.1 years ML background at Flipkart (Senior Machine Learning Engineer); Elasticsearch, OpenSearch, Embeddings experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 30-day notice, 87% recruiter response rate."
CAND_0058575,58,0.627124,"5.8 years as AI Engineer at Krutrim; built systems with Pinecone, Sentence Transformers, Recommendation Systems — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, willing to relocate."
CAND_0087630,59,0.625282,"AI Engineer at Vedantu (7.2 years); demonstrated Elasticsearch, pgvector, Embeddings experience, though at lower evidence depth than top-tier candidates. 30-day notice, willing to relocate."
CAND_0098846,60,0.625229,"Ranked 60: AI Engineer at upGrad (7.6 years) with Qdrant, Recommendation Systems, PEFT background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, GitHub score 86, willing to relocate."
CAND_0011432,61,0.624309,"Ranked 61: Senior Data Scientist at Amazon (7.6 years) with OpenSearch, pgvector, Elasticsearch background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work."
CAND_0011687,62,0.622406,"Ranked 62: Senior NLP Engineer at Niramai (7.8 years) with OpenSearch, FAISS, Embeddings background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, 15-day notice, 89% recruiter response rate."
CAND_0041610,63,0.622327,"6.7 years ML background at Zoho (Recommendation Systems Engineer); Elasticsearch, OpenSearch, Embeddings experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 30-day notice, willing to relocate."
CAND_0044855,64,0.621916,"Ranked 64: Senior Data Scientist at Flipkart (6.6 years) with OpenSearch, Pinecone, Vector Search background; meets core requirements but with less system ownership evidence than higher-ranked candidates. willing to relocate."
CAND_0007009,65,0.621694,"7.9 years as Recommendation Systems Engineer at Wysa; built systems with Weaviate, Embeddings, OpenSearch — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, 30-day notice, GitHub score 69."
CAND_0018549,66,0.621231,"Ranked 66: Recommendation Systems Engineer at Uber (6.8 years) with Weaviate, Elasticsearch, Qdrant background; meets core requirements but with less system ownership evidence than higher-ranked candidates. actively open to work, GitHub score 56, willing to relocate."
CAND_0099401,67,0.621198,"7.7 years as NLP Engineer at Dream11; retrieval and vector search experience (Embeddings, Qdrant, Semantic Search) — solid mid-tier fit. willing to relocate."
CAND_0053695,68,0.620240,"5.8 years as Recommendation Systems Engineer at Meesho; owned systems with Pinecone, pgvector, Embeddings — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, 15-day notice, GitHub score 68."
CAND_0065195,69,0.618299,"5.1 years ML background at CRED (Search Engineer); Elasticsearch, Qdrant, pgvector experience makes this a qualified candidate, placed below top-50 on evidence depth. actively open to work, 80% recruiter response rate, GitHub score 87."
CAND_0094759,70,0.616464,"8.6 years ML background at Meta (Lead AI Engineer); Qdrant, Vector Search, FAISS experience makes this a qualified candidate, placed below top-50 on evidence depth. 30-day notice, GitHub score 76, willing to relocate."
CAND_0005649,71,0.614862,"7.4 years as Senior Data Scientist at Sarvam AI; built systems with Weaviate, Semantic Search, Recommendation Systems — qualifies for retrieval work though evidence breadth is narrower than top-50. actively open to work, GitHub score 81, willing to relocate."
CAND_0078002,72,0.614667,"Machine Learning Engineer at Meta (6.3 years); demonstrated pgvector, Weaviate, QLoRA experience, though at lower evidence depth than top-tier candidates. actively open to work, 86% recruiter response rate."
CAND_0029367,73,0.613601,"5.7 years as Senior Data Scientist at Rephrase.ai; retrieval and vector search experience (FAISS, Pinecone, Vector Search) — solid mid-tier fit. actively open to work, 77% recruiter response rate."
CAND_0093547,74,0.613344,"2.9 years (below the 5-9y target band) as Senior Machine Learning Engineer at PhonePe; retrieval and vector search experience (Milvus, FAISS, Weaviate) — solid mid-tier fit. 75% recruiter response rate, GitHub score 60."
CAND_0092278,75,0.612689,"6.8 years ML background at Microsoft (Senior NLP Engineer); pgvector, Elasticsearch, Vector Search experience makes this a qualified candidate, placed below top-50 on evidence depth."
CAND_0037566,76,0.609784,"Ranked 76 at cutoff: Machine Learning Engineer at LinkedIn (6.9 years) — Pinecone, Elasticsearch, BM25 justifies inclusion; retrieval evidence depth below top-75 tier."
CAND_0091909,77,0.609381,"Boundary candidate: 6.9 years as Machine Learning Engineer at Rephrase.ai; retrieval skills (Pinecone, Qdrant, OpenSearch) present but at lower evidence depth than top-75."
CAND_0039383,78,0.608634,"Included at the rank-78 boundary: Applied ML Engineer at Meesho (7.1 years); FAISS, Vector Search, Elasticsearch qualifies for cutoff inclusion — evidence depth is lower than top-75."
CAND_0011162,79,0.606731,"Ranked 79 at cutoff — Recommendation Systems Engineer at upGrad (5.8 years) has FAISS, Vector Search, Milvus but lacks retrieval system career evidence for higher placement."
CAND_0007411,80,0.606011,"Boundary candidate: 8.0 years as Senior Machine Learning Engineer at Amazon; retrieval skills (OpenSearch, Vector Search, Pinecone) present but at lower evidence depth than top-75."
CAND_0057563,81,0.605769,"Boundary candidate: 6.8 years as NLP Engineer at Locobuzz; retrieval skills (Elasticsearch, OpenSearch, QLoRA) present but at lower evidence depth than top-75."
CAND_0030827,82,0.605014,"Senior Data Scientist at Freshworks (5.4 years); meets basic retrieval/vector requirements (FAISS, Qdrant, Sentence Transformers) at the rank-82 boundary — below the evidence depth of stronger candidates."
CAND_0075249,83,0.604519,"Included at the rank-83 boundary: Applied ML Engineer at Zomato (6.2 years); Milvus, Pinecone, Sentence Transformers qualifies for cutoff inclusion — evidence depth is lower than top-75."
CAND_0088438,84,0.603020,"Boundary inclusion at rank 84: 6.6 years as Senior Software Engineer (ML) at Saarthi.ai; Pinecone, Weaviate, Recommendation Systems in skills but limited retrieval/vector career evidence."
CAND_0093912,85,0.601006,"Senior Data Scientist at Razorpay (5.3 years); meets basic retrieval/vector requirements (Milvus, Embeddings, Vector Search) at the rank-85 boundary — below the evidence depth of stronger candidates."
CAND_0009024,86,0.599557,"Search Engineer at Google (5.2 years); meets basic retrieval/vector requirements (Qdrant, FAISS, OpenSearch) at the rank-86 boundary — below the evidence depth of stronger candidates."
CAND_0081053,87,0.598901,"5.4 years as NLP Engineer at Glance; Qdrant, pgvector, Weaviate background is solid but evidence breadth is narrower than top-50 — boundary pick at rank 87."
CAND_0047721,88,0.597854,"7.0 years as Senior Data Scientist at Microsoft; Milvus, FAISS, Qdrant background is solid but evidence breadth is narrower than top-50 — boundary pick at rank 88."
CAND_0076163,89,0.596997,"NLP Engineer at Ola (6.9 years); adjacent skills (Weaviate, Elasticsearch, OpenSearch) justify inclusion at rank 89 — retrieval career evidence is partial."
CAND_0081321,90,0.596090,"Boundary inclusion at rank 90: 5.3 years as Senior Software Engineer (ML) at Freshworks; Weaviate, Milvus, LoRA in skills but limited retrieval/vector career evidence."
CAND_0066999,91,0.595804,"Boundary pick at rank 91: 5.9 years as Recommendation Systems Engineer at Microsoft; OpenSearch, FAISS, Pinecone coverage noted, but retrieval/vector production evidence is weak."
CAND_0031593,92,0.594405,"7.8 years as Search Engineer at Genpact AI; Embeddings, Elasticsearch, Recommendation Systems background is solid but evidence breadth is narrower than top-50 — boundary pick at rank 92."
CAND_0012957,93,0.593665,"Search Engineer at Razorpay (4.9 years (below the 5-9y target band)); meets basic retrieval/vector requirements (Qdrant, Embeddings, BM25) at the rank-93 boundary — below the evidence depth of stronger candidates."
CAND_0032807,94,0.591380,"Included at the rank-94 boundary: Machine Learning Engineer at CRED (4.2 years (below the 5-9y target band)); OpenSearch, Milvus, Sentence Transformers qualifies for cutoff inclusion — evidence depth is lower than top-75."
CAND_0051292,95,0.591257,"Ranked 95 at cutoff: Applied ML Engineer at Freshworks (5.2 years) — pgvector, FAISS, Vector Search justifies inclusion; retrieval evidence depth below top-75 tier."
CAND_0084819,96,0.590985,"Search Engineer at Dream11 (4.5 years (below the 5-9y target band)); meets basic retrieval/vector requirements (OpenSearch, Weaviate, Semantic Search) at the rank-96 boundary — below the evidence depth of stronger candidates."
CAND_0068081,97,0.590764,"Ranked 97 at cutoff — Computer Vision Engineer at Glance (6.2 years) has Pinecone, Milvus, Elasticsearch but lacks retrieval system career evidence for higher placement."
CAND_0068351,98,0.590183,"Lead AI Engineer at Sarvam AI (6.4 years); pgvector, Qdrant, Elasticsearch makes this a borderline inclusion at rank 98 — retrieval system ownership not clearly demonstrated."
CAND_0030348,99,0.589678,"4.5 years (below the 5-9y target band) as Machine Learning Engineer at BYJU'S; Embeddings, Vector Search, Elasticsearch background is solid but evidence breadth is narrower than top-50 — boundary pick at rank 99."
CAND_0086151,100,0.589636,"Recommendation Systems Engineer at Wysa (7.7 years); meets basic retrieval/vector requirements (Qdrant, OpenSearch, Embeddings) at the rank-100 boundary — below the evidence depth of stronger candidates."
