candidate_id,rank,score,reasoning
CAND_0000011,27,0.195011,2.0 years (below the 5-9y target band) as QA Engineer at Pied Piper; strong technical background in Recommendation Systems.
CAND_0000050,28,0.188403,"Business Analyst at Infosys, 13.5 years (above the typical band); relevant experience in gRPC, SEO, Feature Engineering."
CAND_0000030,29,0.187786,"Marketing Manager at Dunder Mifflin (10.0 years (above the typical band)); ML engineering background including gRPC, Apache Beam, GraphQL."
CAND_0000035,30,0.176632,4.3 years (below the 5-9y target band) in ML engineering at Globex Inc; demonstrates Recommendation Systems background.
CAND_0000006,31,0.173917,"6.0 years ML engineering at Wayne Enterprises; developed relevant systems (Content Writing, SEO, Redux), ranked here due to lower retrieval/vector career evidence. willing to relocate."
CAND_0000034,32,0.163847,"14.5 years (above the typical band) as Business Analyst at Wipro; adjacent technical background (GraphQL, Excel, Node.js) — lower retrieval/vector evidence than top-50."
CAND_0000023,33,0.158820,"Mid-tier fit: 3.7 years (below the 5-9y target band) as Software Engineer at Acme Corp; BigQuery, Marketing, Node.js provides JD-adjacent coverage without clear production retrieval evidence. 30-day notice."
CAND_0000004,34,0.154793,"Marketing Manager at Dunder Mifflin (3.8 years (below the 5-9y target band)); Node.js, Content Writing, Redux profile qualifies for consideration though retrieval system experience is less direct. willing to relocate."
CAND_0000039,35,0.152586,"3.9 years (below the 5-9y target band) as Marketing Manager at Acme Corp; adjacent technical background (Spark, Tailwind, Sales) — lower retrieval/vector evidence than top-50. 30-day notice, willing to relocate."
CAND_0000008,36,0.151157,"Operations Manager at Wipro (3.6 years (below the 5-9y target band)); some relevant ML background (Java, BigQuery, Spark) — placed in mid-tier given limited retrieval-specific evidence."
CAND_0000036,37,0.146674,"Mid-tier fit: 11.3 years (above the typical band) as Project Manager at Initech; Figma, MongoDB, PowerPoint provides JD-adjacent coverage without clear production retrieval evidence. actively open to work."
CAND_0000046,38,0.127036,"Mechanical Engineer at Hooli (7.8 years); Agile, Scrum, SAP profile qualifies for consideration though retrieval system experience is less direct. 30-day notice, willing to relocate."
CAND_0000049,39,0.122877,"Mechanical Engineer at Wayne Enterprises (11.8 years (above the typical band)); some relevant ML background (TypeScript, Rust, Data Pipelines) — placed in mid-tier given limited retrieval-specific evidence."
CAND_0000037,40,0.121930,"Mid-tier fit: 14.3 years (above the typical band) as Business Analyst at Stark Industries; Databricks, Docker, Flask provides JD-adjacent coverage without clear production retrieval evidence. 30-day notice, 78% recruiter response rate."
CAND_0000009,41,0.119025,"Mechanical Engineer at Dunder Mifflin (11.0 years (above the typical band)); some relevant ML background (Snowflake, gRPC, JavaScript) — placed in mid-tier given limited retrieval-specific evidence."
CAND_0000047,42,0.113821,"2.4 years (below the 5-9y target band) ML engineering at TCS; built relevant systems (FastAPI, Java, Excel), ranked here due to lower retrieval/vector career evidence."
CAND_0000041,43,0.100720,"Mid-tier fit: 13.7 years (above the typical band) as Operations Manager at Hooli; Airflow, SQL, Go provides JD-adjacent coverage without clear production retrieval evidence. actively open to work, willing to relocate."
CAND_0000045,44,0.099434,"Mid-tier fit: 12.2 years (above the typical band) as Project Manager at Initech; GCP, Sales, Redux provides JD-adjacent coverage without clear production retrieval evidence. actively open to work, willing to relocate."
CAND_0000005,45,0.096832,"11.0 years (above the typical band) ML engineering at Stark Industries; built relevant systems (SQL, PowerPoint, Photoshop), ranked here due to lower retrieval/vector career evidence. actively open to work, 30-day notice, willing to relocate."
CAND_0000040,46,0.092363,"1.6 years (below the 5-9y target band) ML engineering at Globex Inc; developed relevant systems (SQL, Spring Boot, Accounting), ranked here due to lower retrieval/vector career evidence."
CAND_0000013,47,0.091135,"Mid-tier fit: 1.1 years (below the 5-9y target band) as Civil Engineer at Globex Inc; React, Redux, Vue.js provides JD-adjacent coverage without clear production retrieval evidence. actively open to work, 30-day notice."
CAND_0000022,48,0.079713,"1.1 years (below the 5-9y target band) as Mechanical Engineer at Hooli; adjacent technical background (OpenCV, Django, Terraform) — lower retrieval/vector evidence than top-50. actively open to work."
CAND_0000003,49,0.054659,"Customer Support at TCS (1.1 years (below the 5-9y target band)); Angular, SEO, Excel profile qualifies for consideration though retrieval system experience is less direct."
CAND_0000012,50,0.034896,"Operations Manager at Stark Industries (1.1 years (below the 5-9y target band)); some relevant ML background (Azure, Airflow, AWS) — placed in mid-tier given limited retrieval-specific evidence."
